DISTRICT,FACILITY,TOTALS,MONTH,YEAR
BUKOMANSIMBI,BIGASA HC III,3,July,2022
BUKOMANSIMBI,BIGASA HC III,9,August,2022
BUKOMANSIMBI,BIGASA HC III,7,September,2022
BUKOMANSIMBI,BIGASA HC III,6,October,2022
BUKOMANSIMBI,BIGASA HC III,9,November,2022
BUKOMANSIMBI,BIGASA HC III,5,December,2022
BUKOMANSIMBI,BIGASA HC III,8,January,2023
BUKOMANSIMBI,BIGASA HC III,6,February,2023
BUKOMANSIMBI,BIGASA HC III,4,March,2023
BUKOMANSIMBI,BIGASA HC III,7,April,2023
BUKOMANSIMBI,BIGASA HC III,7,May,2023
BUKOMANSIMBI,BIGASA HC III,7,June,2023
BUKOMANSIMBI,BIGASA HC III,3,July,2023
BUKOMANSIMBI,BIGASA HC III,8,August,2023
BUKOMANSIMBI,BIGASA HC III,6,September,2023
BUKOMANSIMBI,BIGASA HC III,5,October,2023
BUKOMANSIMBI,BIGASA HC III,10,November,2023
BUKOMANSIMBI,BIGASA HC III,6,December,2023
BUKOMANSIMBI,BIGASA HC III,5,January,2024
BUKOMANSIMBI,BIGASA HC III,6,February,2024
BUKOMANSIMBI,BIGASA HC III,8,March,2024
BUKOMANSIMBI,BIGASA HC III,1,April,2024
BUKOMANSIMBI,BIGASA HC III,7,May,2024
BUKOMANSIMBI,BIGASA HC III,7,June,2024
BUKOMANSIMBI,BIGASA HC III,4,July,2024
KALANGALA,BUBEKE HC III,6,July,2022
KALANGALA,BUBEKE HC III,4,August,2022
KALANGALA,BUBEKE HC III,8,September,2022
KALANGALA,BUBEKE HC III,3,October,2022
KALANGALA,BUBEKE HC III,4,November,2022
KALANGALA,BUBEKE HC III,4,December,2022
KALANGALA,BUBEKE HC III,2,January,2023
KALANGALA,BUBEKE HC III,4,February,2023
KALANGALA,BUBEKE HC III,1,March,2023
KALANGALA,BUBEKE HC III,2,April,2023
KALANGALA,BUBEKE HC III,4,May,2023
KALANGALA,BUBEKE HC III,2,June,2023
KALANGALA,BUBEKE HC III,6,July,2023
KALANGALA,BUBEKE HC III,3,August,2023
KALANGALA,BUBEKE HC III,3,September,2023
KALANGALA,BUBEKE HC III,6,October,2023
KALANGALA,BUBEKE HC III,1,November,2023
KALANGALA,BUBEKE HC III,2,December,2023
KALANGALA,BUBEKE HC III,1,January,2024
KALANGALA,BUBEKE HC III,1,February,2024
KALANGALA,BUBEKE HC III,2,March,2024
KALANGALA,BUBEKE HC III,6,April,2024
KALANGALA,BUBEKE HC III,1,May,2024
KALANGALA,BUBEKE HC III,4,June,2024
KALANGALA,BUBEKE HC III,1,July,2024
KALANGALA,BUFUMIRA HC III,3,July,2022
KALANGALA,BUFUMIRA HC III,4,August,2022
KALANGALA,BUFUMIRA HC III,1,September,2022
KALANGALA,BUFUMIRA HC III,2,October,2022
KALANGALA,BUFUMIRA HC III,1,November,2022
KALANGALA,BUFUMIRA HC III,1,December,2022
KALANGALA,BUFUMIRA HC III,1,January,2023
KALANGALA,BUFUMIRA HC III,3,February,2023
KALANGALA,BUFUMIRA HC III,4,March,2023
KALANGALA,BUFUMIRA HC III,1,May,2023
KALANGALA,BUFUMIRA HC III,2,June,2023
KALANGALA,BUFUMIRA HC III,3,August,2023
KALANGALA,BUFUMIRA HC III,4,November,2023
KALANGALA,BUFUMIRA HC III,1,December,2023
KALANGALA,BUFUMIRA HC III,4,January,2024
KALANGALA,BUFUMIRA HC III,1,February,2024
KALANGALA,BUFUMIRA HC III,1,April,2024
KALANGALA,BUFUMIRA HC III,2,May,2024
KALANGALA,BUFUMIRA HC III,2,June,2024
KALANGALA,BUFUMIRA HC III,0,July,2024
MASAKA CITY,BUGABIRA HC II,1,August,2022
MASAKA CITY,BUGABIRA HC II,0,September,2022
MASAKA CITY,BUGABIRA HC II,0,October,2022
MASAKA CITY,BUGABIRA HC II,2,November,2022
MASAKA CITY,BUGABIRA HC II,0,December,2022
MASAKA CITY,BUGABIRA HC II,2,January,2023
MASAKA CITY,BUGABIRA HC II,1,February,2023
MASAKA CITY,BUGABIRA HC II,2,March,2023
MASAKA CITY,BUGABIRA HC II,0,April,2023
MASAKA CITY,BUGABIRA HC II,1,May,2023
MASAKA CITY,BUGABIRA HC II,1,June,2023
MASAKA CITY,BUGABIRA HC II,1,July,2023
MASAKA CITY,BUGABIRA HC II,1,August,2023
MASAKA CITY,BUGABIRA HC II,1,September,2023
MASAKA CITY,BUGABIRA HC II,0,October,2023
MASAKA CITY,BUGABIRA HC II,2,November,2023
MASAKA CITY,BUGABIRA HC II,0,January,2024
MASAKA CITY,BUGABIRA HC II,0,March,2024
MASAKA CITY,BUGABIRA HC II,1,May,2024
MASAKA CITY,BUGABIRA HC II,1,June,2024
MASAKA CITY,BUGABIRA HC II,0,July,2024
RAKAI,BUGONA HC II,1,March,2023
RAKAI,BUGONA HC II,1,May,2023
RAKAI,BUGONA HC II,1,June,2023
RAKAI,BUGONA HC II,2,August,2023
RAKAI,BUGONA HC II,1,December,2023
RAKAI,BUGONA HC II,2,March,2024
RAKAI,BUGONA HC II,1,May,2024
RAKAI,BUGONA HC II,1,July,2024
MPIGI,BUJUUKO HC III,2,August,2022
MPIGI,BUJUUKO HC III,1,September,2022
MPIGI,BUJUUKO HC III,1,October,2022
MPIGI,BUJUUKO HC III,1,November,2022
MPIGI,BUJUUKO HC III,2,December,2022
MPIGI,BUJUUKO HC III,1,January,2023
MPIGI,BUJUUKO HC III,1,February,2023
MPIGI,BUJUUKO HC III,2,March,2023
MPIGI,BUJUUKO HC III,1,April,2023
MPIGI,BUJUUKO HC III,0,June,2023
MPIGI,BUJUUKO HC III,3,July,2023
MPIGI,BUJUUKO HC III,0,August,2023
MPIGI,BUJUUKO HC III,0,September,2023
MPIGI,BUJUUKO HC III,1,December,2023
MPIGI,BUJUUKO HC III,2,April,2024
MPIGI,BUJUUKO HC III,4,June,2024
MPIGI,BUJUUKO HC III,1,July,2024
MASAKA DISTRICT,BUKAKATA HC III,5,July,2022
MASAKA DISTRICT,BUKAKATA HC III,4,August,2022
MASAKA DISTRICT,BUKAKATA HC III,2,September,2022
MASAKA DISTRICT,BUKAKATA HC III,3,October,2022
MASAKA DISTRICT,BUKAKATA HC III,7,November,2022
MASAKA DISTRICT,BUKAKATA HC III,2,December,2022
MASAKA DISTRICT,BUKAKATA HC III,5,January,2023
MASAKA DISTRICT,BUKAKATA HC III,7,February,2023
MASAKA DISTRICT,BUKAKATA HC III,10,March,2023
MASAKA DISTRICT,BUKAKATA HC III,4,April,2023
MASAKA DISTRICT,BUKAKATA HC III,5,May,2023
MASAKA DISTRICT,BUKAKATA HC III,3,June,2023
MASAKA DISTRICT,BUKAKATA HC III,5,July,2023
MASAKA DISTRICT,BUKAKATA HC III,5,August,2023
MASAKA DISTRICT,BUKAKATA HC III,7,September,2023
MASAKA DISTRICT,BUKAKATA HC III,8,October,2023
MASAKA DISTRICT,BUKAKATA HC III,5,November,2023
MASAKA DISTRICT,BUKAKATA HC III,4,December,2023
MASAKA DISTRICT,BUKAKATA HC III,8,January,2024
MASAKA DISTRICT,BUKAKATA HC III,6,February,2024
MASAKA DISTRICT,BUKAKATA HC III,5,March,2024
MASAKA DISTRICT,BUKAKATA HC III,6,April,2024
MASAKA DISTRICT,BUKAKATA HC III,5,May,2024
